team,elo_rating
Madagascar,1457.5195154874168
Sápmi,1456.1681306475691
Saarland,1456.1044416526058
Yemen DPR,1456.0849327971614
Nicaragua,1455.6732868382098
Tajikistan,1455.3257710643643
Saint Barthélemy,1454.425318657287
Micronesia,1453.836783685438
Namibia,1453.4044049390957
Mauritania,1453.3476041623842
Dominican Republic,1452.776938733772
Indonesia,1445.4937165728013
Saint Pierre and Miquelon,1444.6650743266466
French Guiana,1444.5010909616683
Kyrgyzstan,1444.470967363953
Tanzania,1443.5769014093169
Gotland,1443.5031548371337
Raetia,1443.0172093119547
Saint Helena,1442.47933095521
Rwanda,1441.0938102334164
Botswana,1440.0775793736157
Cuba,1435.2201363406664
Armenia,1434.9819375170694
Niger,1434.7784984825535
Chagos Islands,1433.3936994292362
Kazakhstan,1433.1949826434147
Darfur,1432.8366766065678
Estonia,1429.393823169403
Orkney,1428.0427560075204
Wallis Islands and Futuna,1425.952900406808
Barawa,1425.9056832189874
Turkmenistan,1424.2531265322614
Hitra,1424.0913203636273
Burundi,1418.4211333846133
Liberia,1410.2771835787717
Kiribati,1408.6058516795808
Guinea-Bissau,1408.0369734173744
Ethiopia,1404.9309547991936
Congo,1402.7047546061376
Saint Vincent and the Grenadines,1397.612426965677
Luxembourg,1396.6140058827013
Azerbaijan,1394.152753457958
Lesotho,1393.057968829371
Tibet,1390.7889202553001
Saare County,1389.0687475278498
Sint Maarten,1385.2367110550226
Tuvalu,1384.0443855841406
Central African Republic,1383.9589673465268
Bermuda,1378.03024099827
Puerto Rico,1372.1985426993535
Philippines,1371.9912890751855
Belize,1370.7811567359906
Cyprus,1367.324467054077
Saint Kitts and Nevis,1365.463529254669
Hong Kong,1362.4225455763028
Faroe Islands,1362.250342233841
Falkland Islands,1354.623412646792
Samoa,1352.824919322465
Singapore,1352.7851101204524
Bonaire,1351.7597181158958
Eswatini,1351.4773113430601
Frøya,1351.1815514011391
Saint Martin,1350.402808048726
Latvia,1349.4653004539468
Grenada,1344.465614224564
India,1342.6571827265348
Lithuania,1342.5718691202094
Cook Islands,1342.4486399532746
Saint Lucia,1341.4657746211622
Moldova,1340.8982501864925
Montserrat,1335.5738562685503
Yemen,1326.152547905402
Malta,1324.85063183931
Eritrea,1324.2023716745227
South Sudan,1324.0498506343033
Chad,1320.557646503455
Afghanistan,1307.1332323412055
Turks and Caicos Islands,1289.0140120283593
Tonga,1283.7888255540643
Aruba,1283.6210483467942
Dominica,1283.28335491558
Barbados,1281.3223794504868
São Tomé and Príncipe,1281.04610084893
Mauritius,1280.0548986156946
Antigua and Barbuda,1279.6212921521033
Northern Mariana Islands,1258.5228086660936
Myanmar,1248.478193231063
Bahamas,1239.4976298166005
American Samoa,1236.2799332583515
Taiwan,1236.0788141169867
Nepal,1235.189352291312
Cayman Islands,1230.4538166208717
Bangladesh,1227.4645501900302
Gibraltar,1213.2048187457608
Maldives,1209.605759395994
Mongolia,1202.7098804801233
British Virgin Islands,1201.3156342802956
Guam,1199.6697517359744
United States Virgin Islands,1193.5286801178345
Alderney,1186.24092681023
Somalia,1178.9210882934067
Andorra,1176.801038794926
Djibouti,1170.7271995804729
Pakistan,1159.7260941598927
Seychelles,1156.3969820333227
Cambodia,1156.214369530729
Anguilla,1153.1613418295744
Sri Lanka,1146.2567022452183
Laos,1115.8790593764957
Liechtenstein,1115.0157535454466
Brunei,1111.9062006895306
Timor-Leste,1102.9087314832109
Macau,1087.241729677475
Bhutan,1073.6740462454761
San Marino,1022.4291190185019
